epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,0.8786776670021936,0.8786776670021936,0.00030139026364317913,0.017360595140811824,162.97791290283203,1470,0,269.0798034667969,197.45364379882812,144.10543823242188,135.34786987304688,52.04334259033203,206.4504852294922,155.2211456298828,124.97547912597656,182.12400817871094,2.11.0,3.12.6,2.2.2
99,78.97984024998732,78.10116258298513,1.0449864945554991e-05,0.0032326250858327184,30.337453418307838,1470,0,33.062225341796875,27.651153564453125,30.118885040283203,36.90126419067383,27.636289596557617,24.200063705444336,38.692848205566406,23.42311668395996,31.351234436035156,2.11.0,3.12.6,2.2.2
199,156.95661683299113,77.97677658300381,7.691986815386997e-06,0.0027734431336133426,25.493450164794922,1470,0,19.401790618896484,23.902616500854492,25.462806701660156,36.093929290771484,24.607275009155273,20.764915466308594,30.87389373779297,21.353782653808594,26.98004150390625,2.11.0,3.12.6,2.2.2
299,231.75251795793884,74.7959011249477,6.129875962832724e-06,0.0024758586314312706,23.26110521952311,1470,0,19.166656494140625,19.99508285522461,23.220911026000977,34.09067916870117,23.44275665283203,18.191757202148438,26.48611831665039,18.713985443115234,26.04199981689453,2.11.0,3.12.6,2.2.2
399,306.54285720793996,74.79033925000113,3.26891845392323e-06,0.0018080150590974705,17.411859724256725,1470,0,17.248977661132812,15.99848747253418,17.496723175048828,24.482158660888672,19.485246658325195,14.52529525756836,19.008451461791992,11.611400604248047,16.84999656677246,2.11.0,3.12.6,2.2.2
499,381.2340412919875,74.69118408404756,1.6854049599900537e-06,0.0012982314739637356,12.286377588907879,1470,0,10.835885047912598,10.310859680175781,12.96787166595459,17.810314178466797,14.398796081542969,12.488068580627441,11.723631858825684,8.556387901306152,11.485583305358887,2.11.0,3.12.6,2.2.2
599,455.8902395420009,74.6561982500134,1.2476578625691695e-06,0.0011169860619404208,10.691232999165852,1470,0,10.18671989440918,8.782194137573242,10.769715309143066,16.01938819885254,11.310193061828613,10.2013578414917,10.248459815979004,8.397730827331543,10.305337905883789,2.11.0,3.12.6,2.2.2
699,530.5858628749847,74.69562333298381,1.2086742024584223e-06,0.0010993971995864017,9.941743585798475,1470,0,8.710062026977539,8.147902488708496,10.362299919128418,15.552714347839355,10.459179878234863,9.707261085510254,9.330641746520996,7.8264079093933105,9.379222869873047,2.11.0,3.12.6,2.2.2
799,605.0765114169335,74.49064854194876,1.2605543242032235e-06,0.0011227441045061086,9.962339242299397,1470,0,7.898374080657959,8.803472518920898,10.722846031188965,15.997736930847168,10.943886756896973,9.284632682800293,9.086627006530762,7.462409019470215,9.461068153381348,2.11.0,3.12.6,2.2.2
899,679.5417307919124,74.46521937497891,1.0436157888106128e-06,0.0010215751508384553,9.53906864590115,1470,0,8.054902076721191,8.370804786682129,9.902090072631836,15.287480354309082,10.201926231384277,8.689526557922363,8.976143836975098,7.125576972961426,9.24316692352295,2.11.0,3.12.6,2.2.2
