epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,0.876507084001787,0.876507084001787,0.00015324512401557698,0.012379221462417456,127.60259416368271,1470,0,183.2245635986328,108.28787231445312,127.34127807617188,137.07803344726562,155.4602508544922,114.18781280517578,120.6440658569336,93.33854675292969,108.86092376708984,2.11.0,3.12.6,2.2.2
99,101.12672208400909,100.2502150000073,1.358823800462672e-05,0.00368622272857009,33.652414321899414,1470,0,37.75330352783203,32.066890716552734,33.82023620605469,38.326663970947266,31.854154586791992,25.30882453918457,46.90747833251953,22.61375617980957,34.220420837402344,2.11.0,3.12.6,2.2.2
199,229.45170187507756,128.32497979106847,8.66904527133649e-06,0.0029443242469769683,26.758928934733074,1470,0,21.02263832092285,26.926172256469727,25.50668716430664,29.893291473388672,28.336803436279297,21.812049865722656,32.20270538330078,26.216358184814453,28.913654327392578,2.11.0,3.12.6,2.2.2
299,386.46989929210395,157.01819741702639,6.1061431106467424e-06,0.002471061130495711,21.75861040751139,1470,0,19.49337387084961,19.294660568237305,21.24064826965332,27.940053939819336,21.562252044677734,16.940317153930664,27.624845504760742,18.63309669494629,23.09824562072754,2.11.0,3.12.6,2.2.2
399,543.482528417022,157.01262912491802,2.9884210045541103e-06,0.0017287050079623505,14.013716909620495,1470,0,13.164950370788574,11.129253387451172,14.455275535583496,18.911300659179688,15.8709716796875,12.357926368713379,14.211546897888184,13.40648365020752,12.615743637084961,2.11.0,3.12.6,2.2.2
499,696.2960007500369,152.81347233301494,2.733857451987985e-06,0.0016534380702003886,13.854366938273111,1470,0,13.565654754638672,12.284536361694336,13.268880844116211,18.74538230895996,15.720881462097168,11.899022102355957,13.418254852294922,13.418313980102539,12.368375778198242,2.11.0,3.12.6,2.2.2
599,863.2020842090715,166.90608345903456,1.772446869087499e-06,0.0013313327416868779,12.413591702779133,1470,0,11.393515586853027,10.33553409576416,12.691828727722168,17.21674156188965,13.549918174743652,11.729069709777832,13.35523509979248,9.969930648803711,11.480551719665527,2.11.0,3.12.6,2.2.2
699,1024.9901896670926,161.78810545802116,1.5262057238905239e-06,0.0012353969904004638,12.378593974643284,1470,0,13.31766414642334,10.749980926513672,12.009535789489746,16.288209915161133,12.578801155090332,10.633705139160156,13.211734771728516,9.468719482421875,13.148994445800781,2.11.0,3.12.6,2.2.2
799,1190.204021875048,165.21383220795542,1.1094732942684479e-06,0.001053315382147459,10.337390899658203,1470,0,9.733652114868164,8.274724960327148,10.927943229675293,15.499597549438477,11.021889686584473,8.593792915344238,11.180575370788574,8.012643814086914,9.791698455810547,2.11.0,3.12.6,2.2.2
899,1345.8625964170787,155.6585745420307,1.086697253710127e-06,0.0010424477222912077,10.36059061686198,1470,0,10.866790771484375,9.537217140197754,10.155801773071289,14.483515739440918,10.50042724609375,8.962910652160645,10.599871635437012,8.096759796142578,10.042020797729492,2.11.0,3.12.6,2.2.2
999,1514.8658156250603,169.0032192079816,9.955640264700556e-07,0.0009977795480315558,10.007998360527887,1470,0,8.903787612915039,7.801453113555908,10.735629081726074,15.182334899902344,11.647424697875977,7.888515949249268,10.663623809814453,8.280919075012207,8.968297004699707,2.11.0,3.12.6,2.2.2
1099,1687.7517660000594,172.88595037499908,9.74388269913193e-07,0.0009871110727335567,9.644790808359783,1470,0,8.423595428466797,7.85801887512207,10.229630470275879,15.020038604736328,10.241161346435547,7.870258331298828,10.361187934875488,7.9116644859313965,8.887561798095703,2.11.0,3.12.6,2.2.2
1199,1865.047684625024,177.29591862496454,1.0311385856729597e-06,0.0010154499424752357,9.603232171800402,1470,0,8.4378662109375,7.934950828552246,10.306900024414062,15.377513885498047,10.089580535888672,7.640246868133545,10.1704683303833,7.700451374053955,8.771111488342285,2.11.0,3.12.6,2.2.2
1299,2045.4358708750224,180.3881862499984,9.067448669701334e-07,0.0009522315196264685,10.044151835971409,1470,0,9.439395904541016,8.5537748336792,10.810125350952148,15.08243465423584,11.23994255065918,7.991851806640625,10.274737358093262,8.007380485534668,8.997723579406738,2.11.0,3.12.6,2.2.2
1399,2211.371625708998,165.9357548339758,8.81106785407016e-07,0.0009386728851985744,9.159336460961237,1470,0,8.265944480895996,7.748816967010498,9.540312767028809,13.880439758300781,9.362308502197266,7.7592082023620605,9.573802947998047,7.683505535125732,8.619688987731934,2.11.0,3.12.6,2.2.2
1499,2398.578035667073,187.2064099580748,9.025146173247727e-07,0.0009500076932976768,9.686533557044134,1470,0,9.103007316589355,8.493671417236328,10.510074615478516,14.893767356872559,9.922649383544922,7.935938358306885,10.040176391601562,7.583108901977539,8.69640827178955,2.11.0,3.12.6,2.2.2
1599,2611.3110978340264,212.73306216695346,8.35418278615687e-07,0.0009140121873452711,9.102278179592556,1470,0,8.176504135131836,7.963753700256348,9.495530128479004,13.78487491607666,8.969941139221191,7.793338775634766,9.562575340270996,7.549587249755859,8.624398231506348,2.11.0,3.12.6,2.2.2
1699,2840.1502065000823,228.83910866605584,6.0191670901095135e-06,0.0024533990890414697,13.793452474806042,1470,0,11.491127014160156,8.90850830078125,17.057817459106445,21.205951690673828,16.326322555541992,9.030707359313965,18.12265396118164,10.895505905151367,11.10247802734375,2.11.0,3.12.6,2.2.2
1799,3051.1233806250384,210.97317412495613,7.911862535767956e-07,0.0008894865111831633,9.377194722493488,1470,0,8.707554817199707,8.728987693786621,9.997356414794922,13.89288330078125,9.031817436218262,8.23125171661377,9.32126235961914,7.845793724060059,8.637845039367676,2.11.0,3.12.6,2.2.2
1899,3251.6519497920526,200.5285691670142,7.699694515085742e-07,0.0008774790319480997,8.831933445400661,1470,0,7.615477085113525,7.636388778686523,9.55657958984375,14.200250625610352,9.12452507019043,7.233187198638916,9.111871719360352,6.816276550292969,8.19284439086914,2.11.0,3.12.6,2.2.2
1999,3465.7091845000396,214.05723470798694,7.551205149544565e-07,0.0008689767056454716,8.600893444485134,1470,0,7.332038402557373,7.215075969696045,9.245152473449707,13.719013214111328,9.531620025634766,6.8064117431640625,9.019111633300781,6.581529140472412,7.958088397979736,2.11.0,3.12.6,2.2.2
2099,3665.7458181669936,200.036633666954,7.227180958579992e-07,0.0008501282820010162,9.95067082511054,1470,0,9.915792465209961,8.98621940612793,10.795324325561523,14.640859603881836,9.699647903442383,8.593907356262207,9.932378768920898,7.6573567390441895,9.334550857543945,2.11.0,3.12.6,2.2.2
2199,3874.9127359590493,209.16691779205576,7.722462917590004e-07,0.0008787754501344472,8.758656236860487,1470,0,7.034181118011475,7.047460079193115,9.584234237670898,14.291114807128906,9.98720645904541,6.6395039558410645,9.341601371765137,6.516168594360352,8.386435508728027,2.11.0,3.12.6,2.2.2
2299,4073.9112463750644,198.99851041601505,6.731572803417504e-07,0.0008204616263675897,8.167124642266169,1470,0,7.070489406585693,7.156273365020752,8.79160213470459,12.627802848815918,8.720129013061523,6.783334732055664,8.348296165466309,6.189512729644775,7.816681385040283,2.11.0,3.12.6,2.2.2
